prompt,skill,model,condition,rep,item_type,item_text,verdict,credit,contribution,contested,evidence_quote
qdrant-clients-sdk,qdrant-clients-sdk,haiku,no-skill,1,must,Confirms an official Go client exists and gives install/import (go get github.com/qdrant/go-client),missing,0.0,0.0,,
qdrant-clients-sdk,qdrant-clients-sdk,haiku,no-skill,1,must,Points to the upsert / upload_points operation for batched ingestion (idempotent on point id),missing,0.0,0.0,,
qdrant-clients-sdk,qdrant-clients-sdk,haiku,no-skill,1,must,"Surfaces an actual code snippet or the curated snippet-search endpoint, not only prose",missing,0.0,0.0,,
qdrant-clients-sdk,qdrant-clients-sdk,haiku,no-skill,1,bonus,"Mentions parallel uploads + retry settings (e.g. parallel, max_retries) for robust bulk loading",absent,0.0,0.0,,
qdrant-clients-sdk,qdrant-clients-sdk,haiku,no-skill,1,bonus,Notes idempotent overwrite on same id / auto-generated UUIDs when ids omitted,absent,0.0,0.0,,
qdrant-clients-sdk,qdrant-clients-sdk,haiku,no-skill,1,avoid,"Claims Qdrant has no Go SDK, or sends the user only to the raw REST docs to assemble it themselves",clean,0.0,0.0,,
qdrant-clients-sdk,qdrant-clients-sdk,haiku,no-skill,2,must,Confirms an official Go client exists and gives install/import (go get github.com/qdrant/go-client),missing,0.0,0.0,,
qdrant-clients-sdk,qdrant-clients-sdk,haiku,no-skill,2,must,Points to the upsert / upload_points operation for batched ingestion (idempotent on point id),missing,0.0,0.0,,
qdrant-clients-sdk,qdrant-clients-sdk,haiku,no-skill,2,must,"Surfaces an actual code snippet or the curated snippet-search endpoint, not only prose",missing,0.0,0.0,,
qdrant-clients-sdk,qdrant-clients-sdk,haiku,no-skill,2,bonus,"Mentions parallel uploads + retry settings (e.g. parallel, max_retries) for robust bulk loading",met,1.0,1.0,,Retry middleware/helpers in the official SDK ... Built-in parallelism options
qdrant-clients-sdk,qdrant-clients-sdk,haiku,no-skill,2,bonus,Notes idempotent overwrite on same id / auto-generated UUIDs when ids omitted,absent,0.0,0.0,,
qdrant-clients-sdk,qdrant-clients-sdk,haiku,no-skill,2,avoid,"Claims Qdrant has no Go SDK, or sends the user only to the raw REST docs to assemble it themselves",clean,0.0,0.0,,
qdrant-clients-sdk,qdrant-clients-sdk,haiku,with-skill,1,must,Confirms an official Go client exists and gives install/import (go get github.com/qdrant/go-client),met,1.0,1.0,,github.com/qdrant/go-client/qdrant
qdrant-clients-sdk,qdrant-clients-sdk,haiku,with-skill,1,must,Points to the upsert / upload_points operation for batched ingestion (idempotent on point id),met,1.0,1.0,,"client.Upsert(ctx, &qdrant.UpsertPoints{"
qdrant-clients-sdk,qdrant-clients-sdk,haiku,with-skill,1,must,"Surfaces an actual code snippet or the curated snippet-search endpoint, not only prose",met,1.0,1.0,,var buffer []*qdrant.PointStruct
qdrant-clients-sdk,qdrant-clients-sdk,haiku,with-skill,1,bonus,"Mentions parallel uploads + retry settings (e.g. parallel, max_retries) for robust bulk loading",met,1.0,1.0,,Use `golang.org/x/sync/errgroup` for bounded parallelism
qdrant-clients-sdk,qdrant-clients-sdk,haiku,with-skill,1,bonus,Notes idempotent overwrite on same id / auto-generated UUIDs when ids omitted,met,1.0,1.0,,omit it for true upsert (replace if exists)
qdrant-clients-sdk,qdrant-clients-sdk,haiku,with-skill,1,avoid,"Claims Qdrant has no Go SDK, or sends the user only to the raw REST docs to assemble it themselves",clean,0.0,0.0,,
qdrant-clients-sdk,qdrant-clients-sdk,haiku,with-skill,2,must,Confirms an official Go client exists and gives install/import (go get github.com/qdrant/go-client),met,1.0,1.0,,"""github.com/qdrant/go-client/qdrant"""
qdrant-clients-sdk,qdrant-clients-sdk,haiku,with-skill,2,must,Points to the upsert / upload_points operation for batched ingestion (idempotent on point id),met,1.0,1.0,,the Go client uses **`client.Upsert()`**
qdrant-clients-sdk,qdrant-clients-sdk,haiku,with-skill,2,must,"Surfaces an actual code snippet or the curated snippet-search endpoint, not only prose",met,1.0,1.0,,func (bu *BulkUploader) upsertWithRetry(ctx context.Context
qdrant-clients-sdk,qdrant-clients-sdk,haiku,with-skill,2,bonus,"Mentions parallel uploads + retry settings (e.g. parallel, max_retries) for robust bulk loading",met,1.0,1.0,,sends them through workers with retry logic
qdrant-clients-sdk,qdrant-clients-sdk,haiku,with-skill,2,bonus,Notes idempotent overwrite on same id / auto-generated UUIDs when ids omitted,absent,0.0,0.0,,
qdrant-clients-sdk,qdrant-clients-sdk,haiku,with-skill,2,avoid,"Claims Qdrant has no Go SDK, or sends the user only to the raw REST docs to assemble it themselves",clean,0.0,0.0,,
qdrant-clients-sdk,qdrant-clients-sdk,sonnet,no-skill,1,must,Confirms an official Go client exists and gives install/import (go get github.com/qdrant/go-client),met,1.0,1.0,,the official client (`github.com/qdrant/go-client`)
qdrant-clients-sdk,qdrant-clients-sdk,sonnet,no-skill,1,must,Points to the upsert / upload_points operation for batched ingestion (idempotent on point id),met,1.0,1.0,,"It covers client setup, collection creation, and `Upsert`."
qdrant-clients-sdk,qdrant-clients-sdk,sonnet,no-skill,1,must,"Surfaces an actual code snippet or the curated snippet-search endpoint, not only prose",met,1.0,1.0,,"func bulkUpsert(ctx context.Context, client *qdrant.Client"
qdrant-clients-sdk,qdrant-clients-sdk,sonnet,no-skill,1,bonus,"Mentions parallel uploads + retry settings (e.g. parallel, max_retries) for robust bulk loading",met,1.0,1.0,,fan batches out over goroutines bounded by a semaphore/`errgroup.SetLimit`
qdrant-clients-sdk,qdrant-clients-sdk,sonnet,no-skill,1,bonus,Notes idempotent overwrite on same id / auto-generated UUIDs when ids omitted,absent,0.0,0.0,,
qdrant-clients-sdk,qdrant-clients-sdk,sonnet,no-skill,1,avoid,"Claims Qdrant has no Go SDK, or sends the user only to the raw REST docs to assemble it themselves",clean,0.0,0.0,,
qdrant-clients-sdk,qdrant-clients-sdk,sonnet,no-skill,2,must,Confirms an official Go client exists and gives install/import (go get github.com/qdrant/go-client),met,1.0,1.0,,"`github.com/qdrant/go-client`, v1.19.0"
qdrant-clients-sdk,qdrant-clients-sdk,sonnet,no-skill,2,must,Points to the upsert / upload_points operation for batched ingestion (idempotent on point id),met,1.0,1.0,,Batch 64–256 points per `Upsert` call
qdrant-clients-sdk,qdrant-clients-sdk,sonnet,no-skill,2,must,"Surfaces an actual code snippet or the curated snippet-search endpoint, not only prose",met,1.0,1.0,,"func upsertAll(ctx context.Context, client *qdrant.Client"
qdrant-clients-sdk,qdrant-clients-sdk,sonnet,no-skill,2,bonus,"Mentions parallel uploads + retry settings (e.g. parallel, max_retries) for robust bulk loading",met,1.0,1.0,,parallelism = 8 // ~= number of shards
qdrant-clients-sdk,qdrant-clients-sdk,sonnet,no-skill,2,bonus,Notes idempotent overwrite on same id / auto-generated UUIDs when ids omitted,absent,0.0,0.0,,
qdrant-clients-sdk,qdrant-clients-sdk,sonnet,no-skill,2,avoid,"Claims Qdrant has no Go SDK, or sends the user only to the raw REST docs to assemble it themselves",clean,0.0,0.0,,
qdrant-clients-sdk,qdrant-clients-sdk,sonnet,with-skill,1,must,Confirms an official Go client exists and gives install/import (go get github.com/qdrant/go-client),met,1.0,1.0,,github.com/qdrant/go-client/qdrant
qdrant-clients-sdk,qdrant-clients-sdk,sonnet,with-skill,1,must,Points to the upsert / upload_points operation for batched ingestion (idempotent on point id),met,1.0,1.0,,"_, err := client.Upsert(ctx, &qdrant.UpsertPoints{"
qdrant-clients-sdk,qdrant-clients-sdk,sonnet,with-skill,1,must,"Surfaces an actual code snippet or the curated snippet-search endpoint, not only prose",met,1.0,1.0,,"func upsertBatch(ctx context.Context, client *qdrant.Client"
qdrant-clients-sdk,qdrant-clients-sdk,sonnet,with-skill,1,bonus,"Mentions parallel uploads + retry settings (e.g. parallel, max_retries) for robust bulk loading",met,1.0,1.0,,parallelism = 8    // bound concurrent upserts
qdrant-clients-sdk,qdrant-clients-sdk,sonnet,with-skill,1,bonus,Notes idempotent overwrite on same id / auto-generated UUIDs when ids omitted,absent,0.0,0.0,,
qdrant-clients-sdk,qdrant-clients-sdk,sonnet,with-skill,1,avoid,"Claims Qdrant has no Go SDK, or sends the user only to the raw REST docs to assemble it themselves",clean,0.0,0.0,,
qdrant-clients-sdk,qdrant-clients-sdk,sonnet,with-skill,2,must,Confirms an official Go client exists and gives install/import (go get github.com/qdrant/go-client),met,1.0,1.0,,"""github.com/qdrant/go-client/qdrant"""
qdrant-clients-sdk,qdrant-clients-sdk,sonnet,with-skill,2,must,Points to the upsert / upload_points operation for batched ingestion (idempotent on point id),met,1.0,1.0,,"client.Upsert(ctx, &qdrant.UpsertPoints{"
qdrant-clients-sdk,qdrant-clients-sdk,sonnet,with-skill,2,must,"Surfaces an actual code snippet or the curated snippet-search endpoint, not only prose",met,1.0,1.0,,"func BulkUpsert(ctx context.Context, client *qdrant.Client"
qdrant-clients-sdk,qdrant-clients-sdk,sonnet,with-skill,2,bonus,"Mentions parallel uploads + retry settings (e.g. parallel, max_retries) for robust bulk loading",met,1.0,1.0,,numWorkers = 8 ... maxRetries = 5
qdrant-clients-sdk,qdrant-clients-sdk,sonnet,with-skill,2,bonus,Notes idempotent overwrite on same id / auto-generated UUIDs when ids omitted,absent,0.0,0.0,,
qdrant-clients-sdk,qdrant-clients-sdk,sonnet,with-skill,2,avoid,"Claims Qdrant has no Go SDK, or sends the user only to the raw REST docs to assemble it themselves",clean,0.0,0.0,,
qdrant-deployment-options,qdrant-deployment-options,haiku,no-skill,1,must,Recommends a managed option (Qdrant Cloud or Hybrid Cloud) given the no-cluster-babysitting constraint,met,1.0,1.0,,Option A: Qdrant Cloud with verified EU host selection
qdrant-deployment-options,qdrant-deployment-options,haiku,no-skill,1,must,Ties the EU data-residency requirement to Hybrid Cloud (managed control plane on the user's own infra),missing,0.0,0.0,,
qdrant-deployment-options,qdrant-deployment-options,haiku,no-skill,1,must,Suggests local mode / Docker for the early CI + laptop prototyping stage,met,1.0,1.0,,Use containerized Qdrant now (Docker or testcontainers)
qdrant-deployment-options,qdrant-deployment-options,haiku,no-skill,1,bonus,Warns local-mode data format is not server-compatible (don't use for production or benchmarking),absent,0.0,0.0,,
qdrant-deployment-options,qdrant-deployment-options,haiku,no-skill,1,bonus,"Frames the choice via decision axes — managed vs control, latency, production vs prototyping",met,1.0,1.0,,Managed service trades operational overhead for vendor/compliance dependencies; self-hosted trades overhead for architectural control
qdrant-deployment-options,qdrant-deployment-options,haiku,no-skill,1,avoid,Recommends self-managed distributed Docker as the production target despite the explicit low-ops constraint,clean,0.0,0.0,,
qdrant-deployment-options,qdrant-deployment-options,haiku,no-skill,2,must,Recommends a managed option (Qdrant Cloud or Hybrid Cloud) given the no-cluster-babysitting constraint,met,1.0,1.0,,If Qdrant Cloud's EU compliance ... use it — managed means no cluster babysitting
qdrant-deployment-options,qdrant-deployment-options,haiku,no-skill,2,must,Ties the EU data-residency requirement to Hybrid Cloud (managed control plane on the user's own infra),missing,0.0,0.0,,
qdrant-deployment-options,qdrant-deployment-options,haiku,no-skill,2,must,Suggests local mode / Docker for the early CI + laptop prototyping stage,met,1.0,1.0,,Use Qdrant's embedded in-process library or docker-compose locally
qdrant-deployment-options,qdrant-deployment-options,haiku,no-skill,2,bonus,Warns local-mode data format is not server-compatible (don't use for production or benchmarking),absent,0.0,0.0,,
qdrant-deployment-options,qdrant-deployment-options,haiku,no-skill,2,bonus,"Frames the choice via decision axes — managed vs control, latency, production vs prototyping",met,1.0,1.0,,The tradeoff is between operational simplicity and residency control
